#   WAVELENGTH        FLUX
#------------- -----------
     3500.000     0.56341
     3500.100     0.56343
     3500.200     0.56323
     3500.300     0.56303
     3500.400     0.56284
     3500.500     0.56264
     3500.600     0.56244
     3500.700     0.56224
     3500.800     0.56204
     3500.900     0.56187
     3501.000     0.56213
     3501.100     0.56239
     3501.200     0.56266
     3501.300     0.56292
     3501.400     0.56318
     3501.500     0.56344
     3501.600     0.56370
     3501.700     0.56397
     3501.800     0.56490
     3501.900     0.56583
     3502.000     0.56676
     3502.100     0.56770
     3502.200     0.56863
     3502.300     0.56956
     3502.400     0.57049
     3502.500     0.57143
     3502.600     0.57194
     3502.700     0.57243
     3502.800     0.57292
     3502.900     0.57340
     3503.000     0.57389
     3503.100     0.57438
     3503.200     0.57486
     3503.300     0.57535
     3503.400     0.57566
     3503.500     0.57594
     3503.600     0.57622
     3503.700     0.57650
     3503.800     0.57678
     3503.900     0.57706
     3504.000     0.57734
     3504.100     0.57762
     3504.200     0.57704
     3504.300     0.57626
     3504.400     0.57547
     3504.500     0.57468
     3504.600     0.57389
     3504.700     0.57311
     3504.800     0.57232
     3504.900     0.57153
     3505.000     0.57111
     3505.100     0.57083
     3505.200     0.57055
     3505.300     0.57027
     3505.400     0.56999
     3505.500     0.56971
     3505.600     0.56942
     3505.700     0.56914
     3505.800     0.56898
     3505.900     0.56889
     3506.000     0.56879
     3506.100     0.56870
     3506.200     0.56860
     3506.300     0.56851
     3506.400     0.56841
     3506.500     0.56832
     3506.600     0.56868
     3506.700     0.56936
     3506.800     0.57003
     3506.900     0.57071
     3507.000     0.57139
     3507.100     0.57206
     3507.200     0.57274
     3507.300     0.57341
     3507.400     0.57408
     3507.500     0.57474
     3507.600     0.57540
     3507.700     0.57606
     3507.800     0.57672
     3507.900     0.57738
     3508.000     0.57804
     3508.100     0.57870
     3508.200     0.57890
     3508.300     0.57853
     3508.400     0.57815
     3508.500     0.57777
     3508.600     0.57740
     3508.700     0.57702
     3508.800     0.57665
     3508.900     0.57627
     3509.000     0.57599
     3509.100     0.57589
     3509.200     0.57579
     3509.300     0.57569
     3509.400     0.57559
     3509.500     0.57548
     3509.600     0.57538
     3509.700     0.57528
     3509.800     0.57528
     3509.900     0.57552
     3510.000     0.57577
     3510.100     0.57601
     3510.200     0.57626
     3510.300     0.57650
     3510.400     0.57675
     3510.500     0.57699
     3510.600     0.57728
     3510.700     0.57776
     3510.800     0.57823
     3510.900     0.57871
     3511.000     0.57919
     3511.100     0.57966
     3511.200     0.58014
     3511.300     0.58061
     3511.400     0.58106
     3511.500     0.58125
     3511.600     0.58144
     3511.700     0.58163
     3511.800     0.58182
     3511.900     0.58201
     3512.000     0.58220
     3512.100     0.58239
     3512.200     0.58258
     3512.300     0.58239
     3512.400     0.58220
     3512.500     0.58201
     3512.600     0.58182
     3512.700     0.58163
     3512.800     0.58145
     3512.900     0.58126
     3513.000     0.58107
     3513.100     0.58082
     3513.200     0.58056
     3513.300     0.58031
     3513.400     0.58005
     3513.500     0.57980
     3513.600     0.57954
     3513.700     0.57929
     3513.800     0.57903
     3513.900     0.57877
     3514.000     0.57850
     3514.100     0.57824
     3514.200     0.57797
     3514.300     0.57771
     3514.400     0.57744
     3514.500     0.57718
     3514.600     0.57691
     3514.700     0.57699
     3514.800     0.57718
     3514.900     0.57738
     3515.000     0.57757
     3515.100     0.57776
     3515.200     0.57795
     3515.300     0.57814
     3515.400     0.57834
     3515.500     0.57830
     3515.600     0.57814
     3515.700     0.57798
     3515.800     0.57782
     3515.900     0.57766
     3516.000     0.57750
     3516.100     0.57735
     3516.200     0.57719
     3516.300     0.57639
     3516.400     0.57510
     3516.500     0.57381
     3516.600     0.57252
     3516.700     0.57123
     3516.800     0.56994
     3516.900     0.56865
     3517.000     0.56736
     3517.100     0.56693
     3517.200     0.56747
     3517.300     0.56801
     3517.400     0.56854
     3517.500     0.56908
     3517.600     0.56962
     3517.700     0.57016
     3517.800     0.57070
     3517.900     0.57153
     3518.000     0.57287
     3518.100     0.57421
     3518.200     0.57555
     3518.300     0.57689
     3518.400     0.57822
     3518.500     0.57956
     3518.600     0.58090
     3518.700     0.58195
     3518.800     0.58220
     3518.900     0.58245
     3519.000     0.58269
     3519.100     0.58294
     3519.200     0.58319
     3519.300     0.58344
     3519.400     0.58369
     3519.500     0.58385
     3519.600     0.58357
     3519.700     0.58329
     3519.800     0.58301
     3519.900     0.58272
     3520.000     0.58244
     3520.100     0.58216
     3520.200     0.58188
     3520.300     0.58157
     3520.400     0.58077
     3520.500     0.57998
     3520.600     0.57918
     3520.700     0.57839
     3520.800     0.57759
     3520.900     0.57680
     3521.000     0.57601
     3521.100     0.57521
     3521.200     0.57528
     3521.300     0.57538
     3521.400     0.57549
     3521.500     0.57560
     3521.600     0.57571
     3521.700     0.57582
     3521.800     0.57592
     3521.900     0.57603
     3522.000     0.57691
     3522.100     0.57794
     3522.200     0.57896
     3522.300     0.57999
     3522.400     0.58101
     3522.500     0.58204
     3522.600     0.58306
     3522.700     0.58409
     3522.800     0.58488
     3522.900     0.58559
     3523.000     0.58630
     3523.100     0.58701
     3523.200     0.58772
     3523.300     0.58843
     3523.400     0.58914
     3523.500     0.58985
     3523.600     0.59017
     3523.700     0.59027
     3523.800     0.59036
     3523.900     0.59045
     3524.000     0.59054
     3524.100     0.59063
     3524.200     0.59072
     3524.300     0.59082
     3524.400     0.59094
     3524.500     0.59108
     3524.600     0.59123
     3524.700     0.59138
     3524.800     0.59152
     3524.900     0.59167
     3525.000     0.59182
     3525.100     0.59196
     3525.200     0.59203
     3525.300     0.59198
     3525.400     0.59193
     3525.500     0.59187
     3525.600     0.59182
     3525.700     0.59177
     3525.800     0.59171
     3525.900     0.59166
     3526.000     0.59145
     3526.100     0.59080
     3526.200     0.59016
     3526.300     0.58952
     3526.400     0.58888
     3526.500     0.58824
     3526.600     0.58760
     3526.700     0.58696
     3526.800     0.58644
     3526.900     0.58662
     3527.000     0.58680
     3527.100     0.58698
     3527.200     0.58716
     3527.300     0.58733
     3527.400     0.58751
     3527.500     0.58769
     3527.600     0.58785
     3527.700     0.58762
     3527.800     0.58738
     3527.900     0.58714
     3528.000     0.58691
     3528.100     0.58667
     3528.200     0.58643
     3528.300     0.58619
     3528.400     0.58596
     3528.500     0.58521
     3528.600     0.58441
     3528.700     0.58362
     3528.800     0.58282
     3528.900     0.58203
     3529.000     0.58123
     3529.100     0.58043
     3529.200     0.57964
     3529.300     0.57861
     3529.400     0.57753
     3529.500     0.57644
     3529.600     0.57535
     3529.700     0.57427
     3529.800     0.57318
     3529.900     0.57210
     3530.000     0.57101
     3530.100     0.57000
     3530.200     0.56904
     3530.300     0.56807
     3530.400     0.56711
     3530.500     0.56614
     3530.600     0.56517
     3530.700     0.56421
     3530.800     0.56324
     3530.900     0.56292
     3531.000     0.56318
     3531.100     0.56344
     3531.200     0.56370
     3531.300     0.56396
     3531.400     0.56422
     3531.500     0.56448
     3531.600     0.56473
     3531.700     0.56497
     3531.800     0.56516
     3531.900     0.56535
     3532.000     0.56555
     3532.100     0.56574
     3532.200     0.56593
     3532.300     0.56612
     3532.400     0.56632
     3532.500     0.56642
     3532.600     0.56627
     3532.700     0.56612
     3532.800     0.56597
     3532.900     0.56582
     3533.000     0.56568
     3533.100     0.56553
     3533.200     0.56538
     3533.300     0.56508
     3533.400     0.56378
     3533.500     0.56247
     3533.600     0.56116
     3533.700     0.55986
     3533.800     0.55855
     3533.900     0.55724
     3534.000     0.55594
     3534.100     0.55463
     3534.200     0.55423
     3534.300     0.55384
     3534.400     0.55345
     3534.500     0.55306
     3534.600     0.55267
     3534.700     0.55228
     3534.800     0.55189
     3534.900     0.55150
     3535.000     0.55084
     3535.100     0.55012
     3535.200     0.54941
     3535.300     0.54869
     3535.400     0.54798
     3535.500     0.54726
     3535.600     0.54655
     3535.700     0.54583
     3535.800     0.54517
     3535.900     0.54452
     3536.000     0.54388
     3536.100     0.54323
     3536.200     0.54259
     3536.300     0.54194
     3536.400     0.54130
     3536.500     0.54065
     3536.600     0.54036
     3536.700     0.54034
     3536.800     0.54032
     3536.900     0.54029
     3537.000     0.54027
     3537.100     0.54025
     3537.200     0.54022
     3537.300     0.54020
     3537.400     0.54013
     3537.500     0.53998
     3537.600     0.53983
     3537.700     0.53969
     3537.800     0.53954
     3537.900     0.53940
     3538.000     0.53925
     3538.100     0.53911
     3538.200     0.53884
     3538.300     0.53827
     3538.400     0.53771
     3538.500     0.53714
     3538.600     0.53657
     3538.700     0.53600
     3538.800     0.53544
     3538.900     0.53487
     3539.000     0.53433
     3539.100     0.53395
     3539.200     0.53357
     3539.300     0.53320
     3539.400     0.53282
     3539.500     0.53244
     3539.600     0.53206
     3539.700     0.53169
     3539.800     0.53131
     3539.900     0.53009
     3540.000     0.52885
     3540.100     0.52761
     3540.200     0.52638
     3540.300     0.52514
     3540.400     0.52391
     3540.500     0.52267
     3540.600     0.52144
     3540.700     0.52067
     3540.800     0.51999
     3540.900     0.51932
     3541.000     0.51865
     3541.100     0.51798
     3541.200     0.51730
     3541.300     0.51663
     3541.400     0.51596
     3541.500     0.51548
     3541.600     0.51509
     3541.700     0.51470
     3541.800     0.51431
     3541.900     0.51393
     3542.000     0.51354
     3542.100     0.51315
     3542.200     0.51276
     3542.300     0.51265
     3542.400     0.51278
     3542.500     0.51291
     3542.600     0.51305
     3542.700     0.51318
     3542.800     0.51332
     3542.900     0.51345
     3543.000     0.51358
     3543.100     0.51373
     3543.200     0.51391
     3543.300     0.51409
     3543.400     0.51427
     3543.500     0.51444
     3543.600     0.51462
     3543.700     0.51480
     3543.800     0.51497
     3543.900     0.51521
     3544.000     0.51565
     3544.100     0.51609
     3544.200     0.51654
     3544.300     0.51698
